uwi,decline_rate,trend_direction,r_squared,peak_production,current_production,days_producing
100010105720W500,1.5954200795076086,decreasing,0.5320634994849764,0.7548,0.1258,245
100010205720W500,0.33154382231416263,decreasing,0.2167016969018355,6.5784,1.7283000000000002,546
100010205922W500,1.9999999999999998,decreasing,0.7426402991150493,13.271899999999999,0.64,608
100010806021W500,0.2510978720341382,stable,0.1997519104718969,29.437199999999997,22.2666,577
100011105720W503,0.2477856581495943,decreasing,0.11567370377162456,11.912,5.831,546
100013505419W502,0.32814150018371013,decreasing,0.20010094967057845,29.751700000000003,21.1344,546
100021705518W500,0.44990234215828623,decreasing,0.24296112906008127,19.9377,8.5844,577
100021905320W500,0.21694260634403037,decreasing,0.1080221489631934,26.858299999999996,3.9627,699
100040605319W500,2.879596623049802e-13,increasing,0.0,14.0267,14.0267,577
100040905518W502,1.1554776649325658e-15,increasing,0.0,8.9918,8.164100000000001,577
100042105519W500,1.1596296002031683e-14,increasing,0.0,146.30540000000002,56.7987,546
100042805519W500,3.719534829375139e-17,increasing,2.220446049250313e-16,26.994100000000003,1.5096,516
100051905518W500,1.9999999999999998,insufficient_data,0.4650151709065743,26.1664,0.0,123
100052105922W500,0.2800206292998666,decreasing,0.3178839441405783,11.872699999999998,0.02,608
100053305418W500,6.374761296642065e-20,increasing,1.1102230246251565e-16,10.7872,3.6881999999999997,546
100071005619W500,0.903056666934268,decreasing,0.27075870247782163,124.48360000000001,0.0,365
100071606420W500,1.7253848214110548e-17,increasing,0.0,92.2743,0.0,516
100072105922W500,0.21144478246861062,decreasing,0.06516507796987892,3.0367,1.7657999999999998,577
100072805519W500,0.37571957798316313,decreasing,0.1373271313858465,10.1898,4.6546,546
100072905619W500,1.9999999999999998,decreasing,0.6476350394743405,8.4357,0.1258,335
100080705318W502,0.34548940741539674,decreasing,0.07083597515738282,12.7904,1.5957999999999999,546
100080805518W500,3.731422964448705e-17,increasing,0.0,25.1184,19.5745,577
100082805418W500,0.7496401178060983,decreasing,0.26961458533245686,10.4556,0.1,427
100100706021W502,0.5198070312669383,decreasing,0.6620952900042933,21.0715,0.0,488
100100906021W502,0.7463066695065772,decreasing,0.9455792303639583,55.352000000000004,0.0,577
100101406420W500,0.6766273869032348,decreasing,0.344707181483907,94.6645,9.749500000000001,485
100102406420W500,0.20390404393861097,decreasing,0.0526146634407183,64.787,2.1386000000000003,485
100103105418W500,0.0,insufficient_data,0.0,0.39740000000000003,0.39740000000000003,0
100110105720W500,1.0213079275873869e-16,increasing,0.0,6.7029,4.8417,546
100111905320W500,0.5677647537658774,decreasing,0.39480310361418025,39.7528,3.7110999999999996,699
100113105619W502,0.0,insufficient_data,0.0,1.13,0.0,335
100120605319W500,0.5121157989301891,decreasing,0.17516973010473236,21.4551,5.2475000000000005,515
100121906419W500,5.706815517493241e-16,decreasing,0.0,43.7155,0.0629,485
100122105519W500,1.554061099587475e-14,increasing,0.0,33.714400000000005,19.1216,577
100123005518W500,2.978158050270553e-22,increasing,0.0,16.0334,15.880799999999999,577
100131405720W500,1.0555859686664166e-16,increasing,0.0,35.593700000000005,0.0,608
100133305418W500,4.244166917028522e-19,increasing,0.0,5.7339,5.2936,546
100140405518W500,1.6548639480007436e-16,decreasing,0.0,10.408499999999998,10.408499999999998,577
100140406021W502,1.9904740111148223,decreasing,0.5259520425874913,73.7188,0.0,488
100140706022W500,0.09683896225313136,increasing,0.024310875894614337,3.1025,2.6209,577
100140805518W500,2.964471501070819e-15,increasing,0.0,9.8595,9.8595,577
100143205514W500,0.6197333837567656,decreasing,0.099739666693057,57.0503,4.4658999999999995,334
100151206023W500,0.2351028549698979,decreasing,0.10811644348125571,6.6091,2.8851,577
100152205216W500,0.0,insufficient_data,0.0,0.0629,0.0629,59
100152805418W500,4.341613474512548e-17,increasing,0.0,13.3648,0.0,577
100153205418W500,0.33101544658347265,decreasing,0.07727596536659898,9.5708,5.5451999999999995,518
100160505518W500,6.805935722754113e-18,increasing,0.0,12.252600000000001,6.2371,546
100161805518W500,5.9468722832890616e-18,increasing,0.0,11.7507,9.1076,577
100161905320W500,0.352815940938589,decreasing,0.2369491676269031,73.0269,9.057599999999999,699
100163105619W502,0.2708150402058984,increasing,0.04870099002002248,7.578,5.3465,546
102022006419W500,0.6571471031818702,decreasing,0.06161451271690166,88.6261,3.5224,455
102062105217W500,0.005744637409303876,increasing,5.154829039943909e-05,17.9265,14.2783,577
